group_name,technique_id,attack_id,technique,tactic,platforms
APT28,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24,T1003.003,NTDS,credential-access,Windows
Lazarus Group,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,T1059.003,Windows Command Shell,execution,Windows
APT41,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,stealth,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT41,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,persistence,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT41,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,privilege-escalation,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT41,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,initial-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT28,attack-pattern--bc76d0a4-db11-4551-9ac4-01a469cfb161,T1589.001,Credentials,reconnaissance,PRE
Lazarus Group,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,T1566.001,Spearphishing Attachment,initial-access,"Linux, macOS, Windows"
APT28,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23,T1591,Gather Victim Org Information,reconnaissance,PRE
APT28,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,T1564.001,Hidden Files and Directories,stealth,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e,T1202,Indirect Command Execution,stealth,Windows
Lazarus Group,attack-pattern--fb8d023d-45be-47e9-bc51-f56bcae6435b,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,T1001.003,Protocol or Service Impersonation,command-and-control,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--79da0971-3147-4af6-a4f5-e8cd447cd795,T1583.003,Virtual Private Server,resource-development,PRE
APT28,attack-pattern--55fc4df0-b42c-479a-b860-7a6761bcaad0,T1596,Search Open Technical Databases,reconnaissance,PRE
APT28,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,T1583.001,Domains,resource-development,PRE
Lazarus Group,attack-pattern--e196b5c5-8118-4a1c-ab8a-936586ce3db5,T1584.004,Server,resource-development,PRE
APT41,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,T1082,System Information Discovery,discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611,T1070.006,Timestomp,stealth,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3,T1090.002,External Proxy,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--bd369cd9-abb8-41ce-b5bb-fff23ee86c00,T1195.002,Compromise Software Supply Chain,initial-access,"Linux, Windows, macOS"
Lazarus Group,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,T1105,Ingress Tool Transfer,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--840a987a-99bd-4a80-a5c9-0cb2baa6cade,T1218.005,Mshta,stealth,Windows
APT28,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,T1566.001,Spearphishing Attachment,initial-access,"Linux, macOS, Windows"
APT41,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,T1069,Permission Groups Discovery,discovery,"Containers, IaaS, Identity Provider, Linux, macOS, Office Suite, SaaS, Windows"
APT28,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,T1059.001,PowerShell,execution,Windows
APT28,attack-pattern--8e350c1d-ac79-4b5c-bd4e-7476d7e84ec5,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830,T1010,Application Window Discovery,discovery,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0,T1587.001,Malware,resource-development,PRE
APT28,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,persistence,Windows
APT28,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,privilege-escalation,Windows
APT41,attack-pattern--bed04f7d-e48a-4e76-bd0f-4c57fe31fc46,T1595.003,Wordlist Scanning,reconnaissance,PRE
Lazarus Group,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,T1134.002,Create Process with Token,stealth,Windows
Lazarus Group,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,T1134.002,Create Process with Token,privilege-escalation,Windows
APT41,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,T1059.001,PowerShell,execution,Windows
APT28,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,T1027.013,Encrypted/Encoded File,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,T1203,Exploitation for Client Execution,execution,"Linux, macOS, Windows"
APT28,attack-pattern--3dc8c101-d4db-4f4d-8150-1b5a76ca5f1b,T1586.002,Email Accounts,resource-development,PRE
APT28,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a,T1114.002,Remote Email Collection,collection,"Office Suite, Windows"
APT41,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,T1014,Rootkit,stealth,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--2db31dcd-54da-405d-acef-b9129b816ed6,T1021.004,SSH,lateral-movement,"ESXi, Linux, macOS"
APT28,attack-pattern--5d0d3609-d06d-49e1-b9c9-b544e0c618cb,T1505.003,Web Shell,persistence,"Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af,T1087.002,Domain Account,discovery,"Linux, macOS, Windows"
APT28,attack-pattern--149b477f-f364-4824-b1b5-aa1d56115869,T1584.008,Network Devices,resource-development,PRE
APT28,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e,T1550.002,Pass the Hash,lateral-movement,Windows
