tactic,technique_id,technique_name
collection,T1005,Data from Local System
collection,T1025,Data from Removable Media
collection,T1039,Data from Network Shared Drive
collection,T1056,Input Capture
collection,T1056.001,Keylogging
collection,T1056.002,GUI Input Capture
collection,T1056.003,Web Portal Capture
collection,T1056.004,Credential API Hooking
collection,T1074,Data Staged
collection,T1074.001,Local Data Staging
collection,T1074.002,Remote Data Staging
collection,T1113,Screen Capture
collection,T1114,Email Collection
collection,T1114.001,Local Email Collection
collection,T1114.002,Remote Email Collection
collection,T1114.003,Email Forwarding Rule
collection,T1115,Clipboard Data
collection,T1119,Automated Collection
collection,T1123,Audio Capture
collection,T1125,Video Capture
collection,T1185,Browser Session Hijacking
collection,T1213,Data from Information Repositories
collection,T1213.001,Confluence
collection,T1213.002,Sharepoint
collection,T1213.003,Code Repositories
collection,T1213.004,Customer Relationship Management Software
collection,T1213.005,Messaging Applications
collection,T1213.006,Databases
collection,T1530,Data from Cloud Storage
collection,T1557,Adversary-in-the-Middle
collection,T1557.001,Name Resolution Poisoning and SMB Relay
collection,T1557.002,ARP Cache Poisoning
collection,T1557.003,DHCP Spoofing
collection,T1557.004,Evil Twin
collection,T1560,Archive Collected Data
collection,T1560.001,Archive via Utility
collection,T1560.002,Archive via Library
collection,T1560.003,Archive via Custom Method
collection,T1602,Data from Configuration Repository
collection,T1602.001,SNMP (MIB Dump)
collection,T1602.002,Network Device Configuration Dump
command-and-control,T1001,Data Obfuscation
command-and-control,T1001.001,Junk Data
command-and-control,T1001.002,Steganography
command-and-control,T1001.003,Protocol or Service Impersonation
command-and-control,T1008,Fallback Channels
command-and-control,T1024,Custom Cryptographic Protocol
command-and-control,T1026,Multiband Communication
command-and-control,T1032,Standard Cryptographic Protocol
command-and-control,T1043,Commonly Used Port
command-and-control,T1065,Uncommonly Used Port
command-and-control,T1071,Application Layer Protocol
command-and-control,T1071.001,Web Protocols
command-and-control,T1071.002,File Transfer Protocols
command-and-control,T1071.003,Mail Protocols
command-and-control,T1071.004,DNS
command-and-control,T1071.005,Publish/Subscribe Protocols
command-and-control,T1079,Multilayer Encryption
command-and-control,T1090,Proxy
command-and-control,T1090.001,Internal Proxy
command-and-control,T1090.002,External Proxy
command-and-control,T1090.003,Multi-hop Proxy
command-and-control,T1090.004,Domain Fronting
command-and-control,T1092,Communication Through Removable Media
command-and-control,T1094,Custom Command and Control Protocol
command-and-control,T1095,Non-Application Layer Protocol
command-and-control,T1102,Web Service
command-and-control,T1102.001,Dead Drop Resolver
command-and-control,T1102.002,Bidirectional Communication
command-and-control,T1102.003,One-Way Communication
command-and-control,T1104,Multi-Stage Channels
command-and-control,T1105,Ingress Tool Transfer
command-and-control,T1132,Data Encoding
command-and-control,T1132.001,Standard Encoding
command-and-control,T1132.002,Non-Standard Encoding
command-and-control,T1172,Domain Fronting
command-and-control,T1188,Multi-hop Proxy
command-and-control,T1205,Traffic Signaling
command-and-control,T1205.001,Port Knocking
command-and-control,T1205.002,Socket Filters
command-and-control,T1219,Remote Access Tools
command-and-control,T1219.001,IDE Tunneling
command-and-control,T1219.002,Remote Desktop Software
command-and-control,T1219.003,Remote Access Hardware
command-and-control,T1483,Domain Generation Algorithms
command-and-control,T1568,Dynamic Resolution
command-and-control,T1568.001,Fast Flux DNS
command-and-control,T1568.002,Domain Generation Algorithms
command-and-control,T1568.003,DNS Calculation
command-and-control,T1571,Non-Standard Port
command-and-control,T1572,Protocol Tunneling
command-and-control,T1573,Encrypted Channel
command-and-control,T1573.001,Symmetric Cryptography
command-and-control,T1573.002,Asymmetric Cryptography
command-and-control,T1659,Content Injection
command-and-control,T1665,Hide Infrastructure
credential-access,T1003,OS Credential Dumping
credential-access,T1003.001,LSASS Memory
credential-access,T1003.002,Security Account Manager
credential-access,T1003.003,NTDS
credential-access,T1003.004,LSA Secrets
credential-access,T1003.005,Cached Domain Credentials
credential-access,T1003.006,DCSync
credential-access,T1003.007,Proc Filesystem
credential-access,T1003.008,/etc/passwd and /etc/shadow
credential-access,T1040,Network Sniffing
credential-access,T1056,Input Capture
credential-access,T1056.001,Keylogging
credential-access,T1056.002,GUI Input Capture
credential-access,T1056.003,Web Portal Capture
credential-access,T1056.004,Credential API Hooking
credential-access,T1081,Credentials in Files
credential-access,T1110,Brute Force
credential-access,T1110.001,Password Guessing
credential-access,T1110.002,Password Cracking
credential-access,T1110.003,Password Spraying
credential-access,T1110.004,Credential Stuffing
credential-access,T1111,Multi-Factor Authentication Interception
credential-access,T1139,Bash History
credential-access,T1141,Input Prompt
credential-access,T1142,Keychain
credential-access,T1145,Private Keys
credential-access,T1167,Securityd Memory
credential-access,T1171,LLMNR/NBT-NS Poisoning and Relay
credential-access,T1174,Password Filter DLL
credential-access,T1179,Hooking
credential-access,T1187,Forced Authentication
credential-access,T1208,Kerberoasting
credential-access,T1212,Exploitation for Credential Access
credential-access,T1214,Credentials in Registry
credential-access,T1503,Credentials from Web Browsers
credential-access,T1522,Cloud Instance Metadata API
credential-access,T1528,Steal Application Access Token
credential-access,T1539,Steal Web Session Cookie
credential-access,T1552,Unsecured Credentials
credential-access,T1552.001,Credentials In Files
credential-access,T1552.002,Credentials in Registry
credential-access,T1552.003,Shell History
credential-access,T1552.004,Private Keys
credential-access,T1552.005,Cloud Instance Metadata API
credential-access,T1552.006,Group Policy Preferences
credential-access,T1552.007,Container API
credential-access,T1552.008,Chat Messages
credential-access,T1555,Credentials from Password Stores
credential-access,T1555.001,Keychain
credential-access,T1555.002,Securityd Memory
credential-access,T1555.003,Credentials from Web Browsers
credential-access,T1555.004,Windows Credential Manager
credential-access,T1555.005,Password Managers
credential-access,T1555.006,Cloud Secrets Management Stores
credential-access,T1556,Modify Authentication Process
credential-access,T1556.001,Domain Controller Authentication
credential-access,T1556.002,Password Filter DLL
credential-access,T1556.003,Pluggable Authentication Modules
credential-access,T1556.004,Network Device Authentication
credential-access,T1556.005,Reversible Encryption
credential-access,T1556.006,Multi-Factor Authentication
credential-access,T1556.007,Hybrid Identity
credential-access,T1556.008,Network Provider DLL
credential-access,T1556.009,Conditional Access Policies
credential-access,T1557,Adversary-in-the-Middle
credential-access,T1557.001,Name Resolution Poisoning and SMB Relay
credential-access,T1557.002,ARP Cache Poisoning
credential-access,T1557.003,DHCP Spoofing
credential-access,T1557.004,Evil Twin
credential-access,T1558,Steal or Forge Kerberos Tickets
credential-access,T1558.001,Golden Ticket
credential-access,T1558.002,Silver Ticket
credential-access,T1558.003,Kerberoasting
credential-access,T1558.004,AS-REP Roasting
credential-access,T1558.005,Ccache Files
credential-access,T1606,Forge Web Credentials
credential-access,T1606.001,Web Cookies
credential-access,T1606.002,SAML Tokens
credential-access,T1621,Multi-Factor Authentication Request Generation
credential-access,T1649,Steal or Forge Authentication Certificates
defense-impairment,T1112,Modify Registry
defense-impairment,T1207,Rogue Domain Controller
defense-impairment,T1222,File and Directory Permissions Modification
defense-impairment,T1222.001,Windows Permissions
defense-impairment,T1222.002,Linux and Mac Permissions
defense-impairment,T1484,Domain or Tenant Policy Modification
defense-impairment,T1484.001,Group Policy Modification
defense-impairment,T1484.002,Trust Modification
defense-impairment,T1553,Subvert Trust Controls
defense-impairment,T1553.001,Gatekeeper Bypass
defense-impairment,T1553.002,Code Signing
defense-impairment,T1553.003,SIP and Trust Provider Hijacking
defense-impairment,T1553.004,Install Root Certificate
defense-impairment,T1553.005,Mark-of-the-Web Bypass
defense-impairment,T1553.006,Code Signing Policy Modification
