group_id,group_name,technique_id,attack_id,technique_name,nb_utilisations
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,T1027,Obfuscated Files or Information,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--c2e147a9-d1a8-4074-811a-d8789202d916,T1027.003,Steganography,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,T1027.013,Encrypted/Encoded File,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--671cd17f-a765-48fd-adc4-dad1941b1ae3,T1027.016,Junk Code Insertion,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,T1036.004,Masquerade Task or Service,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,T1036.005,Match Legitimate Resource Name or Location,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,T1047,Windows Management Instrumentation,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--b200542e-e877-4395-875b-cf1a44537ca4,T1055.012,Process Hollowing,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,T1059.001,PowerShell,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,T1059.005,Visual Basic,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d,T1059.007,JavaScript,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,T1105,Ingress Tool Transfer,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,External Remote Services,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,T1204.001,Malicious Link,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,T1204.002,Malicious File,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--853c4192-4311-43e1-bfbb-b11b14911852,T1480,Execution Guardrails,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--9e7452df-5144-4b6e-b04a-b66dd4016747,T1534,Internal Spearphishing,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,T1564.003,Hidden Window,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,T1566.001,Spearphishing Attachment,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,T1566.002,Spearphishing Link,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--7bd9c723-2f78-4309-82c5-47cad406572b,T1568,Dynamic Resolution,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,T1571,Non-Standard Port,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,T1574.001,DLL,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,T1583.001,Domains,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--79da0971-3147-4af6-a4f5-e8cd447cd795,T1583.003,Virtual Private Server,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,T1583.006,Web Services,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--810d8072-afb6-4a56-9ee7-86379ac4a6f3,T1584.005,Botnet,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--3dc8c101-d4db-4f4d-8150-1b5a76ca5f1b,T1586.002,Email Accounts,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--3d52e51e-f6db-4719-813c-48002a99f43a,T1586.003,Cloud Accounts,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0,T1587.001,Malware,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--7807d3a4-a885-4639-a786-c1ed41484970,T1588.001,Malware,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,T1588.002,Tool,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--a0e6614a-7740-4b24-bd65-f1bde09fc365,T1593,Search Open Websites/Domains,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e,T1608.001,Upload Malware,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--6a6f9892-c46a-46db-b331-c09a99200fcf,T1683.001,Written Content,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--8f452cb4-cbf4-4522-8b11-448787be95c4,T1683.002,Audio-Visual Content,1
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be,T1684.001,Impersonation,1
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,APT1,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,T1003.001,LSASS Memory,1
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,APT1,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,T1005,Data from Local System,1
