group_id,group_name,nb_techniques,nb_utilisations
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,Kimsuky,130,130
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,APT28,93,93
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,Lazarus Group,93,93
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,Mustang Panda,85,85
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,APT41,82,82
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,Volt Typhoon,81,81
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,Sandworm Team,79,79
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,APT32,78,78
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,Magic Hound,78,78
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,OilRig,76,76
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,Gamaredon Group,70,70
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,MuddyWater,68,68
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,Turla,68,68
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,FIN7,67,67
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,APT29,66,66
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,Scattered Spider,64,64
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,Wizard Spider,64,64
intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559,VOID MANTICORE,63,63
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,Chimera,59,59
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,Medusa Group,57,57
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,Threat Group-3390,57,57
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,APT38,56,56
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,Dragonfly,56,56
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,TeamTNT,56,56
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,Contagious Interview,54,54
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,APT39,53,53
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,FIN13,53,53
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,Leviathan,50,50
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,UNC3886,49,49
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,BlackByte,48,48
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,Ember Bear,47,47
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,menuPass,46,46
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,Ke3chang,46,46
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,APT3,44,44
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,HAFNIUM,44,44
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,Earth Lusca,44,44
intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f,MirrorFace,43,43
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,LAPSUS$,43,43
intrusion-set--7b404cd0-3ae9-41d4-90c0-023793d35d97,Storm-0501,42,42
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,Patchwork,41,41
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,RedCurl,41,41
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,Fox Kitten,41,41
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,FIN6,40,40
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,Tropic Trooper,40,40
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,BRONZE BUTLER,40,40
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,APT-C-36,38,38
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,Rocke,36,36
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,HEXANE,36,36
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,FIN8,36,36
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,Aquatic Panda,35,35
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,TA505,34,34
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,Cobalt Group,34,34
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,Indrik Spider,33,33
intrusion-set--c0291346-defe-48d7-9542-9e074ba1bdfb,APT42,32,32
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,GALLIUM,31,31
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,Storm-1811,31,31
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,APT33,31,31
