technique_id,platform_id
attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,11
attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,11
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,5
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,12
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,11
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,5
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,12
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,11
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,5
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,12
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,11
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,5
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,11
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,12
attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,11
attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463,3
attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463,5
attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463,12
attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463,10
attack-pattern--01c9b54f-c04e-41ba-b0c3-cfe784b3a463,11
attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8,5
attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8,12
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,5
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,12
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,11
attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,5
attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,11
attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,5
attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,11
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,2
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,5
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,12
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,6
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,11
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,5
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,12
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,6
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,11
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,5
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,12
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,6
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,11
attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,9
attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,11
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,1
attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d,9
attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,12
attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,11
attack-pattern--04ef4356-8926-45e2-9441-634b6f3dcecb,12
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,2
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,5
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,12
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,11
attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,5
attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,12
attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,11
attack-pattern--06780952-177c-4247-b978-79c357fb311f,12
attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,5
attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,12
attack-pattern--0708ae90-d0eb-4938-9a76-d0fc94f6eec1,3
attack-pattern--086952c4-5b90-4185-b573-02bad8e11953,5
attack-pattern--086952c4-5b90-4185-b573-02bad8e11953,12
attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,9
attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,9
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,5
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,12
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,6
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,11
attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,5
attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,12
attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,11
attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,5
attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,12
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,1
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,2
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,3
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,4
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,5
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,12
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,6
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,8
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,10
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,11
attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,11
attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,9
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,5
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,12
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,11
attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,5
attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,12
