group_id,technique_id
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--f5d8eed6-48a9-4cdf-a3d7-d1ffa99c3d2a
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--635cbe30-392d-4e27-978e-66774357c762
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,attack-pattern--b0533c6e-8fea-4788-874f-b799cacc4b92
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,attack-pattern--63b24abc-5702-4745-b1e4-ac70b20a43f2
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377
intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--f2514ae4-4e9b-4f26-a5ba-c4ae85fe93c3
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
intrusion-set--c0291346-defe-48d7-9542-9e074ba1bdfb,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--eec096b8-c207-43df-b6c1-11523861e452
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--a1df809c-7d0e-459f-8fe5-25474bab770b
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--ae797531-3219-49a4-bccf-324ad7a4c7b2
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
